Medication,Medication_Name,Additional_Info,FREQ,Dose_By_Name_MCG,Dose_By_Puff_MCG,Dose_By_Information
Budesonide oral inhaler (pulmicort) - LMR 2895,Budesonide,DOSE=0.2 MG; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,,400,400
Budesonide oral inhaler (pulmicort) - LMR 2895,Budesonide,DOSE=1 PUFFS; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,,,400
Budesonide oral inhaler (pulmicort) - LMR 2895,Budesonide,DOSE=1 PUFFS; FREQ=BID; ROUTE=INH,2,,,400
Budesonide oral inhaler (pulmicort) - LMR 2895,Budesonide,DOSE=2 PUFFS; DOSETYPE=R; FREQ=QD; ROUTE=INH,1,,,400
Budesonide oral inhaler (pulmicort) - LMR 2895,Budesonide,DOSE=2 PUFFS; FREQ=QD; ROUTE=INH,1,,,400
Budesonide oral inhaler (pulmicort) - LMR 2895,Budesonide,FREQ=BID; ROUTE=INH,2,,,400
Budesonide/formoterol fumarate 80 -4.5 mcg hfa aer ad 6.9gm aer w/adap,Budesonide,,,80,80,80
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,,,180,180,360
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,DOSE=0.18 MG; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,180,360,360
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,DOSE=0.18 MG; DOSETYPE=R; FREQ=QHS; ROUTE=INH,1,180,180,180
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,DOSE=0.18 MG; FREQ=BID; ROUTE=INH,2,180,360,360
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,DOSE=0.36 MG; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,180,720,720
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,DOSE=0.36 MG; DOSETYPE=R; FREQ=QAM; ROUTE=INH,1,180,360,360
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,DOSE=0.36 MG; FREQ=BID; ROUTE=INH,2,180,720,720
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,DOSE=0.36 MG; FREQ=QAM; ROUTE=INH,1,180,360,360
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,DOSE=0.54 MG; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,180,1080,1080
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,DOSE=0.72 MG; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,180,1440,1440
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,DOSE=0.72 MG; DOSETYPE=R; FREQ=UD; ROUTE=INH,,180,720,720
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,DOSE=0.72 MG; FREQ=UD; ROUTE=INH,,180,720,720
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,DOSE=1 PUFFS; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,180,360,360
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,DOSE=1 PUFFS; DOSETYPE=R; FREQ=QD; ROUTE=INH,1,180,180,180
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,DOSE=1 PUFFS; FREQ=BID; ROUTE=INH,2,180,360,360
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,DOSE=2 PUFFS; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,180,720,720
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,DOSE=2 PUFFS; DOSETYPE=R; FREQ=QD; ROUTE=INH,1,180,360,360
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,DOSE=2 PUFFS; FREQ=BID; ROUTE=INH,2,180,720,720
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,DOSE=2 PUFFS; FREQ=QD; ROUTE=INH,1,180,360,360
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,DOSE=2 PUFFS; FREQ=QHS; ROUTE=INH,1,180,360,360
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,DOSE=3 PUFFS; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,180,1080,1080
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,DOSE=3 PUFFS; FREQ=BID; ROUTE=INH,2,180,1080,1080
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,DOSE=4 PUFFS; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,180,1440,1440
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,DOSE=4 PUFFS; FREQ=BID; ROUTE=INH,2,180,1440,1440
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,DOSE=6 PUFFS; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,180,2160,2160
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,DOSETYPE=R; FREQ=QD; ROUTE=INH,1,180,180,180
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,DOSETYPE=R; ROUTE=INH,,180,180,180
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,FREQ=BID; ROUTE=INH,2,180,360,360
Pulmicort flexhaler 180 mcg (budesonide inhalation powder 180 mcg) - LMR 5913,Budesonide,ROUTE=INH,,180,180,180
Pulmicort Flexhaler 180 mcg/Actuation Breath Activated,Budesonide,,,180,180,180
Pulmicort flexhaler 90 mcg (budesonide inhalation powder 90 mcg) - LMR 5914,Budesonide,,,90,90,180
Pulmicort flexhaler 90 mcg (budesonide inhalation powder 90 mcg) - LMR 5914,Budesonide,DOSE=1 PUFFS; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,90,180,180
Pulmicort flexhaler 90 mcg (budesonide inhalation powder 90 mcg) - LMR 5914,Budesonide,DOSE=1 PUFFS; DOSETYPE=R; ROUTE=INH,,90,90,90
Pulmicort flexhaler 90 mcg (budesonide inhalation powder 90 mcg) - LMR 5914,Budesonide,DOSE=2 PUFFS; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,90,360,360
Pulmicort flexhaler 90 mcg (budesonide inhalation powder 90 mcg) - LMR 5914,Budesonide,DOSE=2 PUFFS; FREQ=BID; ROUTE=INH,2,90,360,360
Pulmicort flexhaler 90 mcg (budesonide inhalation powder 90 mcg) - LMR 5914,Budesonide,DOSETYPE=R; ROUTE=INH,,90,90,90
Pulmicort Flexhaler 90 mcg/Actuation Breath Activated,Budesonide,,,90,90,90
Pulmicort flexhaler-oncall,Budesonide,,,,,180
Pulmicort Inhl,Budesonide,,,,,180
Pulmicort Inhl,Budesonide,DOSE=1 PUFF; FREQ=PRN; ROUTE=Inhl,,,,180
Pulmicort Inhl,Budesonide,DOSE=180 MCG; ROUTE=Inhl,,,180,180
Pulmicort Inhl,Budesonide,FREQ=Daily; ROUTE=Inhl,1,,,180
Pulmicort Inhl,Budesonide,ROUTE=Inhl,,,,180
Pulmicort respules .25 mg/2ml 2ml ea,Budesonide,,,125,125,125
Pulmicort respules 0.25 mg/ml suspension,Budesonide,,,250,250,250
Pulmicort respules-oncall,Budesonide,,,,,250
Pulmicort turbuhaler 200 mcg/inh aerosol with adapter,Budesonide,,,200,200,200
Pulmicort-oncall,Budesonide,,,,,180
Budesonide and formoterol-oncall,Budesonide/formoterol,,,,,320
Budesonide-Formoterol Hfa 160 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,,,160,160,320
Budesonide-Formoterol Hfa 160 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,DOSE=1 PUFF; FREQ=BID PRN; ROUTE=Inhl,2,160,320,320
Budesonide-Formoterol Hfa 160 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,DOSE=1 PUFF; FREQ=BID RESP; ROUTE=Inhl,2,160,320,320
Budesonide-Formoterol Hfa 160 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,DOSE=1 PUFF; FREQ=BID; ROUTE=Inhl,2,160,320,320
Budesonide-Formoterol Hfa 160 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,DOSE=1 PUFF; FREQ=Daily PRN; ROUTE=Inhl,1,160,160,160
Budesonide-Formoterol Hfa 160 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,DOSE=1 PUFF; FREQ=Daily; ROUTE=Inhl,1,160,160,160
Budesonide-Formoterol Hfa 160 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,DOSE=1 PUFF; FREQ=PRN; ROUTE=Inhl,,160,160,160
Budesonide-Formoterol Hfa 160 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,DOSE=2 PUFF; FREQ=BID PRN; ROUTE=Inhl,2,160,640,640
Budesonide-Formoterol Hfa 160 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,DOSE=2 PUFF; FREQ=BID RESP; ROUTE=Inhl,2,160,640,640
Budesonide-Formoterol Hfa 160 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,DOSE=2 PUFF; FREQ=BID; ROUTE=Inhl,2,160,640,640
Budesonide-Formoterol Hfa 160 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,DOSE=2 PUFF; FREQ=BID; ROUTE=Oral,2,160,640,640
Budesonide-Formoterol Hfa 160 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,DOSE=2 PUFF; FREQ=Daily PRN; ROUTE=Inhl,1,160,320,320
Budesonide-Formoterol Hfa 160 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,DOSE=2 PUFF; FREQ=Daily; ROUTE=Inhl,1,160,320,320
Budesonide-Formoterol Hfa 160 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,DOSE=2 PUFF; FREQ=PRN; ROUTE=Inhl,,160,320,320
Budesonide-Formoterol Hfa 160 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,DOSE=2 PUFF; FREQ=QOD; ROUTE=Inhl,0.5,160,160,160
Budesonide-Formoterol Hfa 160 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,DOSE=2 PUFF; FREQ=See Admin Instructions; ROUTE=Inhl,,160,320,320
Budesonide-Formoterol Hfa 160 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,DOSE=2 PUFF; ROUTE=Inhl,,160,320,320
Budesonide-Formoterol Hfa 160 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,FREQ=BID; ROUTE=Inhl,2,160,320,320
Budesonide-Formoterol Hfa 160 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,FREQ=PRN;,,160,160,160
Budesonide-Formoterol Hfa 160 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,PUFF; FREQ=BID; ROUTE=Inhl,2,160,320,320
Budesonide-Formoterol Hfa 80 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,,,80,80,160
Budesonide-Formoterol Hfa 80 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,DOSE=1 PUFF; FREQ=BID RESP; ROUTE=Inhl,2,80,160,160
Budesonide-Formoterol Hfa 80 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,DOSE=1 PUFF; FREQ=BID; ROUTE=Inhl,2,80,160,160
Budesonide-Formoterol Hfa 80 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,DOSE=1 PUFF; FREQ=Daily; ROUTE=Inhl,1,80,80,80
Budesonide-Formoterol Hfa 80 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,DOSE=160 PUFF; FREQ=BID; ROUTE=Inhl,2,80,320,320
Budesonide-Formoterol Hfa 80 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,DOSE=2 PUFF; FREQ=BID PRN; ROUTE=Inhl,2,80,320,320
Budesonide-Formoterol Hfa 80 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,DOSE=2 PUFF; FREQ=BID RESP; ROUTE=Inhl,2,80,320,320
Budesonide-Formoterol Hfa 80 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,DOSE=2 PUFF; FREQ=BID; ROUTE=Inhl,2,80,320,320
Budesonide-Formoterol Hfa 80 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,DOSE=2 PUFF; FREQ=Daily PRN; ROUTE=Inhl,1,80,160,160
Budesonide-Formoterol Hfa 80 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,DOSE=2 PUFF; FREQ=Daily; ROUTE=Inhl,1,80,160,160
Budesonide-Formoterol Hfa 80 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,DOSE=2 PUFF; FREQ=PRN; ROUTE=Inhl,,80,160,160
Budesonide-Formoterol Hfa 80 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,DOSE=2 PUFF; FREQ=QAM; ROUTE=Inhl,1,80,160,160
Budesonide-Formoterol Hfa 80 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,DOSE=80 MCG; FREQ=BID; ROUTE=Inhl,2,80,160,160
Budesonide-Formoterol Hfa 80 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,FREQ=BID PRN;,2,80,160,160
Budesonide-Formoterol Hfa 80 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,FREQ=BID; ROUTE=Inhl,2,80,160,160
Budesonide-Formoterol Hfa 80 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,FREQ=Daily PRN;,1,80,80,80
Budesonide-Formoterol Hfa 80 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,PUFF; FREQ=BID PRN; ROUTE=Inhl,2,80,160,160
Budesonide-Formoterol Hfa 80 mcg-4.5 mcg/Actuation Aerosol Inhaler,Budesonide/formoterol,PUFF; FREQ=BID; ROUTE=Inhl,2,80,160,160
Budesonide/formoterol fumarate 160 mcg-4.5 mcg/actuationmg hfa aer ad 6gm aer w/adap,Budesonide/formoterol,,,160,160,160
Id-Budesonide/Formoterol (2015p001889) Inhalation 160/4.5 mcg,Budesonide/formoterol,,,160,160,160
Symbicort 160 mcg-4.5 mcg/Actuation Hfa Aerosol Inhaler,Budesonide/formoterol,,,160,160,160
Symbicort 160 mcg-4.5 mcg/Actuation Hfa Aerosol Inhaler,Budesonide/formoterol,DOSE=2 PUFF; FREQ=BID; ROUTE=Inhl,2,160,640,640
Symbicort 160/4.5 (budesonide/formoterol 160/4.5)- lmr 6011,Budesonide/formoterol,,,160,160,320
Symbicort 160/4.5 (budesonide/formoterol 160/4.5)- lmr 6011,Budesonide/formoterol,DOSE=1 PUFFS; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,160,320,320
Symbicort 160/4.5 (budesonide/formoterol 160/4.5)- lmr 6011,Budesonide/formoterol,DOSE=1 PUFFS; FREQ=BID; ROUTE=INH,2,160,320,320
Symbicort 160/4.5 (budesonide/formoterol 160/4.5)- lmr 6011,Budesonide/formoterol,DOSE=2 INHALATION; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,160,640,640
Symbicort 160/4.5 (budesonide/formoterol 160/4.5)- lmr 6011,Budesonide/formoterol,DOSE=2 INHALATION; DOSETYPE=R; FREQ=QD; ROUTE=INH,1,160,320,320
Symbicort 160/4.5 (budesonide/formoterol 160/4.5)- lmr 6011,Budesonide/formoterol,DOSE=2 INHALATION; FREQ=QD; ROUTE=INH,1,160,320,320
Symbicort 160/4.5 (budesonide/formoterol 160/4.5)- lmr 6011,Budesonide/formoterol,DOSE=2 PUFFS; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,160,640,640
Symbicort 160/4.5 (budesonide/formoterol 160/4.5)- lmr 6011,Budesonide/formoterol,DOSE=2 PUFFS; DOSETYPE=R; FREQ=PRN; ROUTE=INH,,160,320,320
Symbicort 160/4.5 (budesonide/formoterol 160/4.5)- lmr 6011,Budesonide/formoterol,DOSE=2 PUFFS; DOSETYPE=R; FREQ=QAM; ROUTE=INH,1,160,320,320
Symbicort 160/4.5 (budesonide/formoterol 160/4.5)- lmr 6011,Budesonide/formoterol,DOSE=2 PUFFS; DOSETYPE=R; FREQ=QD; ROUTE=INH,1,160,320,320
Symbicort 160/4.5 (budesonide/formoterol 160/4.5)- lmr 6011,Budesonide/formoterol,DOSE=2 PUFFS; DOSETYPE=R; FREQ=QPM; ROUTE=INH,1,160,320,320
Symbicort 160/4.5 (budesonide/formoterol 160/4.5)- lmr 6011,Budesonide/formoterol,DOSE=2 PUFFS; DOSETYPE=R; ROUTE=INH,,160,320,320
Symbicort 160/4.5 (budesonide/formoterol 160/4.5)- lmr 6011,Budesonide/formoterol,DOSE=2 PUFFS; FREQ=BID; ROUTE=INH,2,160,640,640
Symbicort 160/4.5 (budesonide/formoterol 160/4.5)- lmr 6011,Budesonide/formoterol,DOSE=4 PUFFS; DOSETYPE=R; FREQ=QAM; ROUTE=INH,1,160,640,640
Symbicort 160/4.5 (budesonide/formoterol 160/4.5)- lmr 6011,Budesonide/formoterol,DOSETYPE=R; FREQ=BID; ROUTE=INH,2,160,320,320
Symbicort 160/4.5 (budesonide/formoterol 160/4.5)- lmr 6011,Budesonide/formoterol,DOSETYPE=R; ROUTE=INH,,160,160,160
Symbicort 160/4.5 (budesonide/formoterol 160/4.5)- lmr 6011,Budesonide/formoterol,FREQ=BID; ROUTE=INH,2,160,320,320
Symbicort 160/4.5 (budesonide/formoterol 160/4.5)- lmr 6011,Budesonide/formoterol,FREQ=UD; ROUTE=INH,,160,160,160
Symbicort 160/4.5 (budesonide/formoterol 160/4.5)- lmr 6011,Budesonide/formoterol,ROUTE=INH,,160,160,160
Symbicort 80 mcg-4.5 mcg/Actuation Hfa Aerosol Inhaler,Budesonide/formoterol,,,80,80,160
Symbicort 80/4.5 (budesonide/formoterol 80/4.5)- lmr 6010,Budesonide/formoterol,,,80,80,160
Symbicort 80/4.5 (budesonide/formoterol 80/4.5)- lmr 6010,Budesonide/formoterol,DOSE=1 INHALATION; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,80,160,160
Symbicort 80/4.5 (budesonide/formoterol 80/4.5)- lmr 6010,Budesonide/formoterol,DOSE=1 PUFFS; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,80,160,160
Symbicort 80/4.5 (budesonide/formoterol 80/4.5)- lmr 6010,Budesonide/formoterol,DOSE=1 PUFFS; FREQ=BID; ROUTE=INH,2,80,160,160
Symbicort 80/4.5 (budesonide/formoterol 80/4.5)- lmr 6010,Budesonide/formoterol,DOSE=1 PUFFS; ROUTE=INH,,80,80,80
Symbicort 80/4.5 (budesonide/formoterol 80/4.5)- lmr 6010,Budesonide/formoterol,DOSE=2 INHALATION; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,80,320,320
Symbicort 80/4.5 (budesonide/formoterol 80/4.5)- lmr 6010,Budesonide/formoterol,DOSE=2 PUFFS; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,80,320,320
Symbicort 80/4.5 (budesonide/formoterol 80/4.5)- lmr 6010,Budesonide/formoterol,DOSE=2 PUFFS; DOSETYPE=R; FREQ=QAM; ROUTE=INH,1,80,160,160
Symbicort 80/4.5 (budesonide/formoterol 80/4.5)- lmr 6010,Budesonide/formoterol,DOSE=2 PUFFS; FREQ=BID; ROUTE=INH,2,80,320,320
Symbicort 80/4.5 (budesonide/formoterol 80/4.5)- lmr 6010,Budesonide/formoterol,FREQ=BID; ROUTE=INH,2,80,160,160
Symbicort Inhl,Budesonide/formoterol,,,,,160
Symbicort Inhl,Budesonide/formoterol,DOSE=1 PUFF; FREQ=BID; ROUTE=Inhl,2,,,160
Symbicort Inhl,Budesonide/formoterol,DOSE=2 PUFF; FREQ=BID; ROUTE=Inhl,2,,,160
Symbicort Inhl,Budesonide/formoterol,DOSE=84.5 MCG; ROUTE=Inhl,,,80,160
Symbicort Inhl,Budesonide/formoterol,FREQ=BID; ROUTE=Inhl,2,,,160
Symbicort Inhl,Budesonide/formoterol,ROUTE=Inhl,,,,160
Symbicort-oncall,Budesonide/formoterol,,,,,160
Alvesco 160 mcg/Actuation Aerosol Inhaler,Ciclesonide,,,160,160,160
Ciclesonide 50 mcg Nasal Spray,Ciclesonide,,,50,50,100
Ciclesonide 50 mcg Nasal Spray,Ciclesonide,DOSE=2 SPRAY; FREQ=Daily; ROUTE=Each Nare,1,50,100,100
Ciclesonide 50 mcg Nasal Spray,Ciclesonide,DOSE=2 SPRAY; FREQ=PRN; ROUTE=Each Nare,,50,100,100
Ciclesonide Hfa 160 mcg/Actuation Aerosol Inhaler,Ciclesonide,,,160,160,640
Ciclesonide Hfa 160 mcg/Actuation Aerosol Inhaler,Ciclesonide,DOSE=1 PUFF; FREQ=BID; ROUTE=Inhl,2,160,320,320
Ciclesonide Hfa 160 mcg/Actuation Aerosol Inhaler,Ciclesonide,DOSE=2 PUFF; FREQ=Daily; ROUTE=Inhl,1,160,320,320
Ciclesonide Hfa 160 mcg/Actuation Aerosol Inhaler,Ciclesonide,DOSE=3 PUFF; FREQ=BID; ROUTE=Inhl,2,160,960,960
Ciclesonide Hfa 160 mcg/Actuation Aerosol Inhaler,Ciclesonide,DOSE=4 PUFF; FREQ=BID; ROUTE=Inhl,2,160,1280,1280
Ciclesonide Hfa 160 mcg/Actuation Aerosol Inhaler,Ciclesonide,DOSE=6 PUFF; FREQ=BID; ROUTE=Inhl,2,160,1920,1920
Ciclesonide Hfa 160 mcg/Actuation Aerosol Inhaler,Ciclesonide,FREQ=Daily; ROUTE=Inhl,1,160,160,160
Ciclesonide Hfa 80 mcg/Actuation Aerosol Inhaler,Ciclesonide,DOSE=2 PUFF; FREQ=Daily PRN; ROUTE=Inhl,1,80,160,160
Dexamethasone sod phospha,Dexamethasone,,,,,4000
Dexamethasone sod phosphate 4 mg/ml vial 1ml vial,Dexamethasone,,,4000,4000,4000
Aerobid 250 mcg/inh aerosol with adapter,Flunisolide,,,250,250,250
Aerobid-oncall,Flunisolide,,,,,250
Flunisolide (aerobid) - LMR 308,Flunisolide,,,,,1000
Flunisolide (aerobid) - LMR 308,Flunisolide,DOSE=2 PUFFS; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,,,1000
Flunisolide (aerobid) - LMR 308,Flunisolide,DOSE=2 PUFFS; DOSETYPE=R; FREQ=BID; ROUTE=NA,2,,,1000
Flunisolide (aerobid) - LMR 308,Flunisolide,DOSE=2 PUFFS; FREQ=BID; ROUTE=INH,2,,,1000
Flunisolide (aerobid) - LMR 308,Flunisolide,DOSETYPE=R; ROUTE=INH,,,,1000
Flunisolide inhaler-oncall,Flunisolide,,,,,500
Flunisolide-oncall,Flunisolide,,,,,500
Arnuity Ellipta 100 mcg/Actuation Powder For Inhalation,Fluticasone,FREQ=Daily; ROUTE=Inhl,1,100,100,100
Flovent 110 mcg/inh aerosol with adapter,Fluticasone,,,110,110,110
Flovent 220 mcg/inh aerosol with adapter,Fluticasone,,,220,220,440
Flovent 44 mcg/inh aerosol with adapter,Fluticasone,,,44,44,88
Flovent diskus (fluticasone propionate 100 mcg diskus) - LMR 7018,Fluticasone,,,100,100,250
Flovent diskus (fluticasone propionate 100 mcg diskus) - LMR 7018,Fluticasone,DOSE=1 INHALATION; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,100,200,200
Flovent diskus (fluticasone propionate 100 mcg diskus) - LMR 7018,Fluticasone,DOSE=1 INHALATION; FREQ=BID; ROUTE=INH,2,100,200,200
Flovent diskus (fluticasone propionate 100 mcg diskus) - LMR 7018,Fluticasone,DOSE=2 PUFFS; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,100,400,400
Flovent diskus (fluticasone propionate 250 mcg diskus) - LMR 7019,Fluticasone,,,250,250,250
Flovent diskus (fluticasone propionate 250 mcg diskus) - LMR 7019,Fluticasone,DOSE=1 INHALATION; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,250,500,500
Flovent diskus (fluticasone propionate 250 mcg diskus) - LMR 7019,Fluticasone,DOSE=1 INHALATION; DOSETYPE=R; FREQ=QAM; ROUTE=INH,1,250,250,250
Flovent diskus (fluticasone propionate 250 mcg diskus) - LMR 7019,Fluticasone,DOSE=1 INHALATION; DOSETYPE=R; FREQ=QD; ROUTE=INH,1,250,250,250
Flovent diskus (fluticasone propionate 250 mcg diskus) - LMR 7019,Fluticasone,DOSE=1 INHALATION; DOSETYPE=R; ROUTE=INH,,250,250,250
Flovent diskus (fluticasone propionate 250 mcg diskus) - LMR 7019,Fluticasone,DOSE=1 INHALATION; FREQ=BID; ROUTE=INH,2,250,500,500
Flovent diskus (fluticasone propionate 250 mcg diskus) - LMR 7019,Fluticasone,DOSE=2 INHALATION; FREQ=QD; ROUTE=INH,1,250,500,500
Flovent diskus (fluticasone propionate 250 mcg diskus) - LMR 7019,Fluticasone,DOSE=2 PUFFS; DOSETYPE=R; FREQ=QD; ROUTE=INH,1,250,500,500
Flovent diskus (fluticasone propionate 250 mcg diskus) - LMR 7019,Fluticasone,DOSETYPE=R; ROUTE=INH,,250,250,250
Flovent Diskus 100 mcg/Actuation Powder For Inhalation,Fluticasone,,,100,100,100
Flovent Diskus 250 mcg/Actuation Powder For Inhalation,Fluticasone,,,250,250,250
Flovent Diskus 50 mcg/Actuation Powder For Inhalation,Fluticasone,,,50,50,100
Flovent Diskus Inhl,Fluticasone,,,,,250
Flovent Diskus Inhl,Fluticasone,DOSE=2 PUFF; FREQ=BID; ROUTE=Inhl,2,,,250
Flovent Diskus Inhl,Fluticasone,FREQ=BID; ROUTE=Inhl,2,,,250
Flovent Diskus Inhl,Fluticasone,FREQ=PRN; ROUTE=Inhl,,,,100
Flovent diskus-oncall,Fluticasone,,,,,250
Flovent Hfa 110 mcg/Actuation Aerosol Inhaler,Fluticasone,,,110,110,110
Flovent Hfa 110 mcg/Actuation Aerosol Inhaler,Fluticasone,DOSE=1 PUFF; FREQ=BID; ROUTE=Inhl,2,110,220,220
Flovent Hfa 220 mcg/Actuation Aerosol Inhaler,Fluticasone,,,220,220,220
Flovent Hfa 220 mcg/Actuation Aerosol Inhaler,Fluticasone,DOSE=220 MCG; FREQ=PRN; ROUTE=Oral,,220,220,220
Flovent Hfa 220 mcg/Actuation Aerosol Inhaler,Fluticasone,FREQ=BID PRN;,2,220,440,440
Flovent Hfa 44 mcg/Actuation Aerosol Inhaler,Fluticasone,,,44,44,88
Flovent Hfa Inhl,Fluticasone,,,,,220
